seconds_elapsed,GAME_ID,PERIOD,AWAY_SCORE,HOME_SCORE,SCORE_DIFF,IS_HOME_LEADING,HOME_TEAM_WIN_PCT,AWAY_TEAM_WIN_PCT,HOME_TEAM_WON,HOME_TEAM,AWAY_TEAM,PCTIMESTRING
0,22200002,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,12:00
30,22200002,1,2.0,0.0,-2.0,0.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,11:30
60,22200002,1,2.0,0.0,-2.0,0.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,11:00
90,22200002,1,2.0,2.0,0.0,0.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,10:30
120,22200002,1,2.0,2.0,0.0,0.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,10:00
150,22200002,1,2.0,2.0,0.0,0.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,9:30
180,22200002,1,2.0,4.0,2.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,9:00
210,22200002,1,4.0,5.0,1.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,8:30
240,22200002,1,4.0,7.0,3.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,8:00
270,22200002,1,6.0,9.0,3.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,7:30
300,22200002,1,6.0,11.0,5.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,7:00
330,22200002,1,8.0,11.0,3.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,6:30
360,22200002,1,10.0,16.0,6.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,6:00
390,22200002,1,10.0,19.0,9.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,5:30
420,22200002,1,13.0,19.0,6.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,5:00
450,22200002,1,13.0,22.0,9.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,4:30
480,22200002,1,17.0,22.0,5.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,4:00
510,22200002,1,19.0,22.0,3.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,3:30
540,22200002,1,22.0,22.0,0.0,0.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,3:00
570,22200002,1,22.0,22.0,0.0,0.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,2:30
600,22200002,1,22.0,22.0,0.0,0.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,2:00
630,22200002,1,22.0,22.0,0.0,0.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,1:30
660,22200002,1,22.0,23.0,1.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,1:00
690,22200002,1,22.0,23.0,1.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,0:30
720,22200002,1,22.0,25.0,3.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,0:00
720,22200002,2,22.0,25.0,3.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,12:00
750,22200002,2,24.0,25.0,1.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,11:30
780,22200002,2,24.0,25.0,1.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,11:00
810,22200002,2,24.0,27.0,3.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,10:30
840,22200002,2,26.0,27.0,1.0,1.0,1.0,0.0,1.0,Golden State Warriors,Los Angeles Lakers,10:00
